Equipment Number,Part,Date,Start Time,Finish Time,Stopped Time(min),Stopped Time(hour),Cause of Failure,Failure Handling,MTTR,MTBF,Failure Strength Ratio,Price Weighting by Part,Risk Likelihood,Risk Impact
Unit 1,extruder,03/28,18:00:00,18:40:00,40,0.67,Main and booster pump trip,Knocker cable short circuit due to worker's carelessness,1.16,50.8,2.29,0.35,3.998228346,4.481211677
Unit 1,extruder,04/11,13:45:00,17:17:00,212,3.53,Container main piping block,Full range bolt shear seal and bolt replacement,2.19,82.8,2.65,0.35,3.000483092,4.841711677
Unit 1,extruder,04/11,08:30:00,10:43:00,133,2.22,Collision with billet loader machine,Correction work for bending caused by,2.19,82.8,2.65,0.35,3.000483092,4.841711677
Unit 1,extruder,06/23,10:44:00,12:30:00,106,1.77,container cylinder fixing,Loaded original position adjustment operation,1.6,124.5,1.28,0.35,1.999919679,4.635211677
Unit 1,extruder,08/13,01:00:00,01:30:00,30,0.5,Noise occurs when billet loader moves forward/reverse,"Tainer center is wrong, adjustment work",1.29,21.5,6.03,0.35,12.98604651,4.526711677
Unit 1,extruder,10/10,08:30:00,14:20:00,350,5.83,"Compressor 100HP failure, water inflow","Compressor 100HP breakdown water inflow cleaning and
Part replacement",1.29,43.7,2.96,0.35,5.995423341,4.526711677
Unit 1,extruder,10/13,16:50:00,17:00:00,10,0.17,Container heater #1 and 2 temperatures cannot be displayed on the OP panel.,"Container heater #1, 2, temperature compensation conductor heater #3 and
Use COM",1.29,43.7,2.96,0.35,5.995423341,4.526711677
Unit 1,extruder,11/09,13:30:00,22:02:00,512,8.53,Container cylinder not sealed,"Container cylinder seal not working. Replace packing.
and pipe packing replacement",25.58,84.2,30.38,0.35,3,13.02821168
Unit 1,extruder,11/11,01:30:00,08:30:00,3910,65.17,Container not sealed,"Container not sealed, bottom OP side
rod breakage",25.58,84.2,30.38,0.35,3,13.02821168
Unit 1,extruder,11/10,16:57:00,20:00:00,183,3.05,container piping leak,Container piping leak packing replacement,25.58,84.2,30.38,0.35,3,13.02821168
