호기,부위,일자,시작시간,완료시간,정지시간(분),정지시간(시간),고장 원인,처리 내용,MTTR,MTBF,고장강도율,translated_고장원인,translated_처리내용,translated_부위,제품 가격 가중치,risk_impact,가동시간,risk_likehood
1호기,압출기,3월28일,18:00:00,18:40:00,40,0.67,메인 및 부스타 펌프 트립,작업자 부주위로 노커 케이불 누전,1.16,50.8,2.29,Main and booster pump trip,Knocker cable short circuit due to worker's carelessness,extruder,0.35,4.481211677,203.11,3.998228346
1호기,압출기,4월11일,13:45:00,17:17:00,212,3.53,콘테이너 메인배관 불럭,풀렌지 볼트 전단 씰 및 볼트 교체,2.19,82.8,2.65,Container main piping block,Full range bolt shear seal and bolt replacement,extruder,0.35,4.841711677,248.44,3.000483092
1호기,압출기,4월11일,08:30:00,10:43:00,133,2.22,빌레트 로더 기계와 추돌,로 인한 피다 휨 교정 작업,2.19,82.8,2.65,Collision with billet loader machine,Correction work for bending caused by,extruder,0.35,4.841711677,248.44,3.000483092
1호기,압출기,6월23일,10:44:00,12:30:00,106,1.77,콘테이너 실린다 고정 ,실린다 원 위치 조정 작업,1.6,124.5,1.28,container cylinder fixing,Loaded original position adjustment operation,extruder,0.35,4.635211677,248.99,1.999919679
1호기,압출기,8월13일,01:00:00,01:30:00,30,0.5,빌레트 로더 전/후진시 소음 발생,테이너 센터 틀려 조정 작업,1.29,21.5,6.03,Noise occurs when billet loader moves forward/reverse,"Tainer center is wrong, adjustment work",extruder,0.35,4.526711677,279.2,12.98604651
1호기,압출기,2016-10-10 00:00:00,08:30:00,14:20:00,350,5.83,콤푸레샤100HP  고장 물 유입,"콤푸레샤100HP  고장 물 유입 청소및
파트 교체",1.29,43.7,2.96,"Compressor 100HP failure, water inflow","Compressor 100HP breakdown water inflow cleaning and
Part replacement",extruder,0.35,4.526711677,262,5.995423341
1호기,압출기,2016-10-13 00:00:00,16:50:00,17:00:00,10,0.17,"OP판넬에서 콘테이너히터#1,2 온도 표시 불능","콘테이너히터#1,2 온도 보상도선 히터 #3과 
COM 사용",1.29,43.7,2.96,Container heater #1 and 2 temperatures cannot be displayed on the OP panel.,"Container heater #1, 2, temperature compensation conductor heater #3 and
Use COM",extruder,0.35,4.526711677,262,5.995423341
1호기,압출기,2016-11-09 00:00:00,13:30:00,22:02:00,512,8.53,콘테이너 실린더 씰링 안됨,"콘테이너 실린더 씰링 안됨 패킹 교체
및 배관 패킹 교체",25.58,84.2,30.38,Container cylinder not sealed,"Container cylinder seal not working. Replace packing.
and pipe packing replacement",extruder,0.35,13.02821168,252.6,3
1호기,압출기,2016-11-11 00:00:00,01:30:00,08:30:00,3910,65.17,콘테이너 씰링 안됨,"콘테이너 씰링 안됨 하단OP쪽
로드 파손",25.58,84.2,30.38,Container not sealed,"Container not sealed, bottom OP side
rod breakage",extruder,0.35,13.02821168,252.6,3
1호기,압출기,2016-11-10 00:00:00,16:57:00,20:00:00,183,3.05,콘테이너 배관 누유,콘테이너 배관 누유 패킹 교체,25.58,84.2,30.38,container piping leak,Container piping leak packing replacement,extruder,0.35,13.02821168,252.6,3
1호기,압출기,2014-08-05 00:00:00,11:00:00,17:10:00,370,6.17,유압배관 크랙으로 인한 누유현상,용접가공(외주) 후 장착,31.39,98.4,2.77,Oil leakage phenomenon caused by hydraulic pipe cracks,Installed after welding processing (outsourcing),extruder,0.35,15.06171168,295.33,3.001321138
1호기,압출기,2014-08-29 00:00:00,10:50:00,12:30:00,100,1.67,냉각수 펌프 교체작업,냉각수 펌프 교체,31.39,98.4,2.77,Coolant pump replacement work,Coolant Pump Replacement,extruder,0.35,15.06171168,295.33,3.001321138
1호기,압출기,2014-09-15 00:00:00,14:45:00,15:45:00,60,1,메인펌프 자동수동 on 불능,PLC모니터 결과 비상정지 접정 동작됨,24.1,81,1.43,Main pump automatic manual on disabled,"As a result of the PLC monitor, emergency stop contact is activated.",extruder,0.35,12.51021168,243.07,3.000864198
1호기,압출기,2014-10-29 00:00:00,20:00:00,02:30:00,330,5.5,이젝트 후진동작 불능,"감속기 모터 코일 교체, 
인버터 교체 및 케이블 베어 배선 확인 후 스페어 선 재연결",30.49,104.3,1.89,Eject backward operation not possible,"reducer motor coil replacement,
After replacing the inverter and checking bare cable wiring, reconnect the spare wire.",extruder,0.35,14.74671168,312.97,3.000671141
1호기,가열로,2월12일,01:00:00,02:08:00,68,1.13,푸샤 엔코더 베아링 마모,케이불 정리 임시 처리 작업,1,88.4,1.13,Pusha encoder bearing wear,Temporary handling of cable management,heating furnace,0.25,3.160865483,246.76,2.791402715
1호기,가열로,2월12일,04:48:00,05:40:00,52,0.87,케이불 열화로 단선, 케이불 연결 작업,1,88.4,1.13,Disconnection due to cable deterioration,Cable connection operation,heating furnace,0.25,3.160865483,246.76,2.791402715
1호기,가열로,3월3일,11:30:00,12:30:00,60,1,빌레트 이송 체인 전단,전단된 체인 분해후 부분 교체,1.16,50.8,2.29,Billet transfer chain shear,Partial replacement after disassembling the sheared chain,heating furnace,0.25,3.200865483,203.11,3.998228346
1호기,가열로,3월14일,15:16:00,16:00:00,44,0.73,프르브 열전대 에러,보정 작업(5번 7번),1.16,50.8,2.29,Probe thermocouple error,Calibration operations (No. 5 and 7),heating furnace,0.25,3.200865483,203.11,3.998228346
1호기,가열로,3월28일,10:00:00,12:15:00,135,2.25,빌레트 가열로 START不,통신 케이불 단락 부분 교체작업,1.16,50.8,2.29,Billet heating furnace does not start,Replacement of short-circuited communication cable,heating furnace,0.25,3.200865483,203.11,3.998228346
1호기,가열로,4월4일,08:40:00,09:30:00,50,0.83,프르브 온도 감지 에러,프르브 센서 교정 작업,2.19,82.8,2.65,Probe temperature detection error,Probe sensor calibration tasks,heating furnace,0.25,3.458365483,248.44,3.000483092
1호기,가열로,8월18일,14:33:00,15:20:00,47,0.78,ZONE#1 파이로트 점화 불능,파이로트 연비 조정,1.29,21.5,6.03,ZONE#1 Pilot ignition disabled,Pilot fuel efficiency adjustment,heating furnace,0.25,3.233365483,279.2,12.98604651
1호기,가열로,8월16일,04:38:00,08:30:00,232,3.87,탑 클램프 실린더 누유,패킹 교체,1.29,21.5,6.03,Top clamp cylinder leak,Packing replacement,heating furnace,0.25,3.233365483,279.2,12.98604651
1호기,가열로,9월28일,18:26:00,20:30:00,124,2.07,푸샤 체인 아타치 마모,임시 제작 하여 조립,2.07,209,0.99,Pusha chain attache wear,Temporarily manufactured and assembled,heating furnace,0.25,3.428365483,209,1
1호기,가열로,2016-10-18 00:00:00,23:15:00,23:30:00,15,0.25,빌레트가열로(1호기) 터치스크린 버튼 안눌림,터치스크린 Calibration 영점 조정,1.29,43.7,2.96,Billet heating furnace (unit 1) touch screen button not pressed,Touch screen calibration zero point adjustment,heating furnace,0.25,3.233365483,262,5.995423341
1호기,가열로,2014-08-26 00:00:00,14:20:00,14:40:00,20,0.33,리턴 감지센서 불능,PR이18-14DN감지 불능으로 교체,31.39,98.4,2.77,Return detection sensor disabled,PR replaced with 18-14DN not detectable,heating furnace,0.25,10.75836548,295.33,3.001321138
1호기,가열로,2014-10-21 00:00:00,19:10:00,19:25:00,15,0.25,빌레트 감지센서 파손,BJ10M-TDT 1번만 사용,30.49,104.3,1.89,Billet detection sensor damaged,BJ10M-TDT used only once,heating furnace,0.25,10.53336548,312.97,3.000671141
1호기,가열로,2014-11-04 00:00:00,04:05:00,04:15:00,15,0.25,이젝트 공급 센서 감지 불능,공급 근접 센서 PRL18-8DN 교체,42.54,154.7,0.35,Eject supply sensor not detected,Supply Proximity Sensor PRL18-8DN Replacement,heating furnace,0.25,13.54586548,309.49,2.000581771
1호기,풀러,6월3일,11:05:00,12:30:00,85,1.42,풀러 2호 체인 고정 볼트 ,전 단 제거 후 볼트교체 조정 작업,1.6,124.5,1.28,Fuller No. 2 chain fixing bolt,Bolt replacement and adjustment work after removing the shear,fuller,0.09,1.191911574,248.99,1.999919679
1호기,후면,8월04일,11:30:00,11:50:00,20,0.33,Hi-temp C/V 수동 구동은 되나 자동 불능,제품 감지 포토센서 교체,1.29,21.5,6.03,"Hi-temp C/V can be driven manually, but cannot be operated automatically.",Product detection photo sensor replacement,back side,0.15,1.94001929,279.2,12.98604651
1호기,후면,8월19일,07:50:00,08:00:00,10,0.17,파워헤드업/다운 S/W 소손,LVL-2M-1 교체,1.29,21.5,6.03,Power head up/down S/W damage,LVL-2M-1 replacement,back side,0.15,1.94001929,279.2,12.98604651
